inflected form,base form,number,gender,group,case,concat form
автофура,автофура,1,f,inanim,N,автофура1N
автофури,автофура,1,f,inanim,G,автофура1G
автофурі,автофура,1,f,inanim,D,автофура1D
автофуру,автофура,1,f,inanim,A,автофура1A
автофурою,автофура,1,f,inanim,I,автофура1I
автофурі,автофура,1,f,inanim,L,автофура1L
автофуро,автофура,1,f,inanim,V,автофура1V
автофури,автофура,2,f,inanim,N,автофура2N
автофур,автофура,2,f,inanim,G,автофура2G
автофурам,автофура,2,f,inanim,D,автофура2D
автофури,автофура,2,f,inanim,A,автофура2A
автофурами,автофура,2,f,inanim,I,автофура2I
автофурах,автофура,2,f,inanim,L,автофура2L
автофури,автофура,2,f,inanim,V,автофура2V
зернофураж,зернофураж,1,m,inanim,N,зернофураж1N
зернофуражу,зернофураж,1,m,inanim,G,зернофураж1G
зернофуражеві,зернофураж,1,m,inanim,D,зернофураж1D
зернофуражу,зернофураж,1,m,inanim,D,зернофураж1D
зернофураж,зернофураж,1,m,inanim,A,зернофураж1A
зернофуражем,зернофураж,1,m,inanim,I,зернофураж1I
зернофуражеві,зернофураж,1,m,inanim,L,зернофураж1L
зернофуражі,зернофураж,1,m,inanim,L,зернофураж1L
зернофуражу,зернофураж,1,m,inanim,L,зернофураж1L
зернофураже,зернофураж,1,m,inanim,V,зернофураж1V
зернофуражі,зернофураж,2,m,inanim,N,зернофураж2N
зернофуражів,зернофураж,2,m,inanim,G,зернофураж2G
зернофуражам,зернофураж,2,m,inanim,D,зернофураж2D
зернофуражі,зернофураж,2,m,inanim,A,зернофураж2A
зернофуражами,зернофураж,2,m,inanim,I,зернофураж2I
зернофуражах,зернофураж,2,m,inanim,L,зернофураж2L
зернофуражі,зернофураж,2,m,inanim,V,зернофураж2V
завдання,завдання,1,n,inanim,N,завдання1N
завдання,завдання,1,n,inanim,G,завдання1G
завданню,завдання,1,n,inanim,D,завдання1D
завдання,завдання,1,n,inanim,A,завдання1A
завданням,завдання,1,n,inanim,I,завдання1I
завданні,завдання,1,n,inanim,L,завдання1L
завданню,завдання,1,n,inanim,L,завдання1L
завдання,завдання,1,n,inanim,V,завдання1V
