inflected form,base form,number,gender,group,case,concat form
емаль,емаль,1,f,inanim,N,емаль1N
емалі,емаль,1,f,inanim,G,емаль1G
емалі,емаль,1,f,inanim,D,емаль1D
емаль,емаль,1,f,inanim,A,емаль1A
емаллю,емаль,1,f,inanim,I,емаль1I
емалі,емаль,1,f,inanim,L,емаль1L
емале,емаль,1,f,inanim,V,емаль1V
емалі,емаль,2,f,inanim,N,емаль2N
емалей,емаль,2,f,inanim,G,емаль2G
емалям,емаль,2,f,inanim,D,емаль2D
емалі,емаль,2,f,inanim,A,емаль2A
емалями,емаль,2,f,inanim,I,емаль2I
емалях,емаль,2,f,inanim,L,емаль2L
емалі,емаль,2,f,inanim,V,емаль2V
туз,туз,1,m,anim,N,туз1N
туза,туз,1,m,anim,G,туз1G
тузові,туз,1,m,anim,D,туз1D
тузу,туз,1,m,anim,D,туз1D
туза,туз,1,m,anim,A,туз1A
тузом,туз,1,m,anim,I,туз1I
тузі,туз,1,m,anim,L,туз1L
тузові,туз,1,m,anim,L,туз1L
тузу,туз,1,m,anim,L,туз1L
тузе,туз,1,m,anim,V,туз1V
тузи,туз,2,m,anim,N,туз2N
тузів,туз,2,m,anim,G,туз2G
тузам,туз,2,m,anim,D,туз2D
тузів,туз,2,m,anim,A,туз2A
тузи,туз,2,m,anim,A,туз2A
тузами,туз,2,m,anim,I,туз2I
тузах,туз,2,m,anim,L,туз2L
тузи,туз,2,m,anim,V,туз2V
туз,туз,1,m,inanim,N,туз1N
туза,туз,1,m,inanim,G,туз1G
тузові,туз,1,m,inanim,D,туз1D
тузу,туз,1,m,inanim,D,туз1D
туз,туз,1,m,inanim,A,туз1A
тузом,туз,1,m,inanim,I,туз1I
тузі,туз,1,m,inanim,L,туз1L
тузові,туз,1,m,inanim,L,туз1L
тузу,туз,1,m,inanim,L,туз1L
тузе,туз,1,m,inanim,V,туз1V
тузи,туз,2,m,inanim,N,туз2N
тузів,туз,2,m,inanim,G,туз2G
тузам,туз,2,m,inanim,D,туз2D
тузи,туз,2,m,inanim,A,туз2A
тузами,туз,2,m,inanim,I,туз2I
тузах,туз,2,m,inanim,L,туз2L
тузи,туз,2,m,inanim,V,туз2V
любов,любов,1,f,inanim,N,любов1N
любові,любов,1,f,inanim,G,любов1G
любови,любов,1,f,inanim,G,любов1G
любові,любов,1,f,inanim,D,любов1D
любов,любов,1,f,inanim,A,любов1A
любов'ю,любов,1,f,inanim,I,любов1I
любові,любов,1,f,inanim,L,любов1L
любове,любов,1,f,inanim,V,любов1V
любові,любов,2,f,inanim,N,любов2N
любовей,любов,2,f,inanim,G,любов2G
любовям,любов,2,f,inanim,D,любов2D
любові,любов,2,f,inanim,A,любов2A
любовями,любов,2,f,inanim,I,любов2I
любовях,любов,2,f,inanim,L,любов2L
любові,любов,2,f,inanim,V,любов2V
кінонепокора,кінонепокора,1,f,inanim,N,кінонепокора1N
кінонепокори,кінонепокора,1,f,inanim,G,кінонепокора1G
кінонепокорі,кінонепокора,1,f,inanim,D,кінонепокора1D
кінонепокору,кінонепокора,1,f,inanim,A,кінонепокора1A
кінонепокорою,кінонепокора,1,f,inanim,I,кінонепокора1I
кінонепокорі,кінонепокора,1,f,inanim,L,кінонепокора1L
кінонепокоро,кінонепокора,1,f,inanim,V,кінонепокора1V
суперквартира,суперквартира,1,f,inanim,N,суперквартира1N
суперквартири,суперквартира,1,f,inanim,G,суперквартира1G
суперквартирі,суперквартира,1,f,inanim,D,суперквартира1D
суперквартиру,суперквартира,1,f,inanim,A,суперквартира1A
суперквартирою,суперквартира,1,f,inanim,I,суперквартира1I
суперквартирі,суперквартира,1,f,inanim,L,суперквартира1L
суперквартиро,суперквартира,1,f,inanim,V,суперквартира1V
суперквартири,суперквартира,2,f,inanim,N,суперквартира2N
суперквартир,суперквартира,2,f,inanim,G,суперквартира2G
суперквартирам,суперквартира,2,f,inanim,D,суперквартира2D
суперквартири,суперквартира,2,f,inanim,A,суперквартира2A
